ID,RFAM#,Architecture,Clan,Family
F338,RF00001,rRNA,5S_rRNA,5S_rRNA
F339,RF00002,rRNA,LSU_rRNA,5_8S_rRNA
F25,RF00003,U1_snRNA,U1,U1
F28,RF00004,Intron_gpII-like,U2,U2
F1,RF00005,tRNA-like,tRNA,tRNA
F340,RF00006,hairpin,Vault,Vault
F29,RF00007,Intron_gpII-like,U2,U12
F36,RF00008,3WJ,Hammerhead,Hammerhead_3
F8,RF00009,RNaseP,RNaseP,RNaseP_nuc
F9,RF00010,RNaseP,RNaseP,RNaseP_bact_a
F10,RF00011,RNaseP,RNaseP,RNaseP_bact_b
F301,RF00012,hairpin,C/D-box,U3
F341,RF00013,hairpin,6S,6S
F342,RF00014,3H,DsrA,DsrA
F30,RF00015,U4_snRNA,U4,U4
F343,RF00016,hairpin,C/D-box,SNORD14
F14,RF00017,SRP,SRP,Metazoa_SRP
F321,RF00018,complex unclassified,Csr_Rsm_clan,CsrB
F344,RF00019,hairpin,Y_RNA,Y_RNA
F345,RF00020,Intron_gpII-like,U5,U5
F346,RF00021,3H,Spot_42,Spot_42
F347,RF00022,complex unclassified,GcvB,GcvB
F2,RF00023,tRNA-like,tRNA,tmRNA
F22,RF00024,telomerase,Telomerase,Telomerase-vert
F23,RF00025,telomerase,Telomerase,Telomerase-cil
F34,RF00026,Intron_gpII-like,U6,U6
F348,RF00027,hairpin,let-7,let-7
F11,RF00030,RNaseP,RNaseP,RNase_MRP
F351,RF00031,hairpin,SECIS_1,SECIS_1
F352,RF00032,3WJ,Histone3,Histone3
F353,RF00033,2H,MicF,MicF
F354,RF00034,4H,RprA,RprA
F355,RF00035,3H,OxyS,OxyS
F356,RF00036,complex unclassified,RRE,RRE
F357,RF00037,hairpin,IRE_I,IRE_I
F358,RF00038,hairpin,PrfA,PrfA
F359,RF00039,hairpin,DicF,DicF
F360,RF00040,complex unclassified,rne5,rne5
F361,RF00041,complex unclassified,Entero_OriR,Entero_OriR
F362,RF00042,2H,CopA,CopA
F363,RF00043,2H,Plasmid_R1162,Plasmid_R1162
F364,RF00044,complex unclassified,Phage_pRNA,Phage_pRNA
F252,RF00045,2H,H/ACA-box,SNORA73
F242,RF00046,hairpin,C/D-box,snoR30
F365,RF00047,hairpin,miRNA2,mir-2
F366,RF00048,hairpin,Entero_CRE,Entero_CRE
F157,RF00049,hairpin,C/D-box,SNORD36
F367,RF00050,complex unclassified,FMN,FMN
F368,RF00051,hairpin,miRNA2,mir-17
F369,RF00052,hairpin,lin-4,lin-4
F370,RF00053,hairpin,miRNA2,mir-7
F153,RF00054,hairpin,C/D-box,SNORD25
F240,RF00055,hairpin,C/D-box,SNORD96
F371,RF00056,2H,H/ACA-box,SNORA71
F372,RF00057,2H,RyhB,RyhB
F373,RF00058,3H,HgcF,HgcF
F374,RF00059,complex unclassified,TPP,TPP
F375,RF00060,hairpin,HgcE,HgcE
F61,RF00061,IRES_multi_domain,IRES_HCV,IRES_HCV
F376,RF00062,4WJ,HgcC,HgcC
F377,RF00063,hairpin,SscA,SscA
F378,RF00064,3WJ,HgcG,HgcG
F379,RF00065,hairpin,C/D-box,snoR9
F380,RF00066,hairpin,U7,U7
F143,RF00067,hairpin,C/D-box,SNORD15
F381,RF00068,hairpin,C/D-box,SNORD21
F382,RF00069,hairpin,C/D-box,SNORD24
F158,RF00070,hairpin,C/D-box,SNORD29
F383,RF00071,hairpin,C/D-box,SNORD73
F384,RF00072,2H,H/ACA-box,SNORA75
F385,RF00073,hairpin,miRNA1,mir-156
F386,RF00074,hairpin,miRNA2,mir-29
F387,RF00075,hairpin,mir-166,mir-166
F388,RF00076,hairpin,miRNA2,mir-181
F389,RF00077,4H,SraB,SraB
F390,RF00078,2H,MicA,MicA
F391,RF00079,2H,OmrA-B,OmrA-B
F392,RF00080,3H,yybP-ykoY,yybP-ykoY
F393,RF00081,2H,ArcZ,ArcZ
F394,RF00082,3H,SraG,SraG
F41,RF00083,3WJ,Glm,GlmZ_SraJ
F322,RF00084,complex unclassified,Csr_Rsm_clan,CsrC
F395,RF00085,hairpin,C/D-box,SNORD28
F396,RF00086,hairpin,C/D-box,SNORD27
F155,RF00087,hairpin,C/D-box,SNORD26
F168,RF00088,hairpin,C/D-box,SNORD30
F170,RF00089,hairpin,C/D-box,SNORD31
F139,RF00090,2H,H/ACA-box,SNORA74
F130,RF00091,2H,H/ACA-box,SNORA62
F397,RF00092,2H,H/ACA-box,SNORA63
F149,RF00093,hairpin,C/D-box,SNORD18
F398,RF00094,complex unclassified,HDV_ribozyme,HDV_ribozyme
F399,RF00095,hairpin,C/D-box,snoPyro_CD
F400,RF00096,hairpin,C/D-box,U8
F401,RF00097,hairpin,C/D-box,snoR71
F402,RF00099,hairpin,C/D-box,SNORD22
F46,RF00100,2H,7SK,7SK
F319,RF00101,3H,RyeA-RyeB,SraC_RyeA
F403,RF00102,3WJ,VA,VA
F404,RF00103,hairpin,miRNA2,mir-1
F405,RF00104,hairpin,miRNA2,mir-10
F406,RF00105,hairpin,C/D-box,SNORD115
F407,RF00106,3H,RNAI,RNAI
F59,RF00107,2H,FinP-traJ,FinP
F408,RF00108,hairpin,C/D-box,SNORD116
F409,RF00109,3WJ,Vimentin2,Vimentin3
F410,RF00110,hairpin,RybB,RybB
F320,RF00111,3H,RyeA-RyeB,SdsR_RyeB
F411,RF00112,2H,CyaR_RyeE,CyaR_RyeE
F412,RF00113,4WJ,SIB_RNA,SIB_RNA
F413,RF00114,2H,S15,S15
F414,RF00115,complex unclassified,IS061,IS061
F415,RF00116,3H,C0465,C0465
F416,RF00117,complex unclassified,C0719,C0719
F417,RF00118,3WJ,rydB,rydB
F418,RF00119,2H,C0299,C0299
F419,RF00121,3H,MicC,MicC
F420,RF00122,3H,GadY,GadY
F421,RF00124,4H,IS102,IS102
F422,RF00125,complex unclassified,IS128,IS128
F423,RF00126,complex unclassified,ryfA,ryfA
F424,RF00127,hairpin,t44,t44
F42,RF00128,3WJ,Glm,GlmY_tke1
F425,RF00129,hairpin,miRNA2,mir-103
F426,RF00130,hairpin,miRNA2,mir-192
F427,RF00131,hairpin,miRNA2,mir-30
F428,RF00132,hairpin,C/D-box,snoR24
F174,RF00133,hairpin,C/D-box,SNORD33
F175,RF00134,hairpin,C/D-box,snoZ196
F159,RF00135,hairpin,C/D-box,snoZ223
F156,RF00136,hairpin,C/D-box,SNORD81
F429,RF00137,hairpin,C/D-box,SNORD83
F147,RF00138,hairpin,C/D-box,SNORD16
F430,RF00139,2H,H/ACA-box,SNORA72
F431,RF00140,complex unclassified,Alpha_RBS,Alpha_RBS
F432,RF00142,hairpin,C/D-box,snoZ118
F262,RF00143,hairpin,miRNA2,mir-6
F433,RF00144,hairpin,miRNA2,mir-199
F434,RF00145,hairpin,C/D-box,snoZ105
F182,RF00147,hairpin,C/D-box,SNORD34
F435,RF00149,hairpin,C/D-box,snoZ103
F436,RF00150,hairpin,C/D-box,SNORD42
F209,RF00151,hairpin,C/D-box,SNORD58
F225,RF00152,hairpin,C/D-box,SNORD79
F222,RF00153,hairpin,C/D-box,SNORD62
F437,RF00154,hairpin,C/D-box,SNORD63
F120,RF00155,2H,H/ACA-box,SNORA66
F438,RF00156,2H,H/ACA-box,SNORA70
F187,RF00157,hairpin,C/D-box,SNORD39
F439,RF00158,hairpin,C/D-box,SNORD82
F440,RF00159,hairpin,C/D-box,snoZ168
F211,RF00160,hairpin,C/D-box,snoZ159
F441,RF00161,3WJ,nos_TCE,nos_TCE
F43,RF00162,3WJ,SAM,SAM
F37,RF00163,3WJ,Hammerhead,Hammerhead_1
F442,RF00164,hairpin,s2m,s2m
F443,RF00165,pseudoknot_simple,Corona_pk3,Corona_pk3
F323,RF00166,complex unclassified,Csr_Rsm_clan,PrrB_RsmZ
F444,RF00167,3WJ,Purine,Purine
F445,RF00168,complex unclassified,Lysine,Lysine
F15,RF00169,SRP,SRP,Bacteria_small_SRP
F446,RF00170,hairpin,msr,msr
F447,RF00171,complex unclassified,Tombus_5,Tombus_5
F448,RF00172,3WJ,CAESAR,CAESAR
F449,RF00173,hairpin,Hairpin ribozyme,Hairpin_ribozyme
F305,RF00174,4WJ,Cobalamin,Cobalamin
F450,RF00175,hairpin,HIV-1_DIS,HIV-1_DIS
F451,RF00176,complex unclassified,Tombus_3_IV,Tombus_3_IV
F331,RF00177,rRNA,SSU_rRNA,SSU_rRNA_bacteria
F452,RF00178,hairpin,miRNA2,mir-24
F453,RF00179,hairpin,GAIT,GAIT
F454,RF00180,hairpin,REN-SRE,REN-SRE
F226,RF00181,hairpin,C/D-box,SNORD113
F455,RF00182,hairpin,Corona_package,Corona_package
F456,RF00183,3H,G-CSF_SLDE,G-CSF_SLDE
F457,RF00184,2H,PVX_3,PVX_3
F458,RF00185,2H,Flavi_CRE,Flavi_CRE
F244,RF00186,hairpin,C/D-box,SNORD101
F459,RF00187,hairpin,C/D-box,SNORD102
F460,RF00188,hairpin,C/D-box,SNORD103
F461,RF00189,hairpin,C/D-box,SNORD95
F69,RF00190,2H,H/ACA-box,SNORA16
F462,RF00191,2H,H/ACA-box,SNORA57
F463,RF00192,2H,BLV_package,BLV_package
F464,RF00193,complex unclassified,CTV_rep_sig,CTV_rep_sig
F465,RF00194,2H,Rubella_3,Rubella_3
F324,RF00195,complex unclassified,Csr_Rsm_clan,RsmY
F466,RF00196,hairpin,AMV_RNA1_SL,AMV_RNA1_SL
F67,RF00198,3H,SL,SL1
F68,RF00199,3H,SL,SL2
F467,RF00200,hairpin,C/D-box,snoZ199
F468,RF00201,hairpin,C/D-box,snoZ278
